old,new
연우,YeonWoo
형님,HyungNim
오라버니,Oraboni
판트,Phante
에도라,Edora
무왕,Martial King
외뿔부족,One-Horned Tribe
대장로,Grand Elder
청화도,Azure Sword Clan
검무신,Sword God
도무신,Saber God
궁무신,Archery God
권무신,Fist God
창무신,Spear God
궁그닐,Gungnir
플랑,Pulang
리언트,Leonte
바할,Baal
화권,Fire Fist
레드드래곤,Red Dragon
81개의눈,Eighty One Eyes
여름여왕,Summer Queen
드래곤하트,Dragon Heart
드래곤피어,Dragon Fear
슬레이어,Slayer
드래곤,Dragon
독식자,Hoarder
퀘스트,Quest
히든,Hidden
피스,Piece
공적치,Karma
내단,Core
신수,Sacred beast
짹짹,Chirpy
피닉스,Phoenix
허무룡,Void Dragon
어비스터틀,Abyss Turtle
샤벨타이거,Saber Tiger
환수의알,Mythical beast egg
환수,Mythical beast
팔극권,Bajiquan
팔극검,Bajijien
팔괘,Eight Trigrams
천익기공,CheonIkGong
열화,Flame Infusion
성화,Sacred Fire
정화,Purification
무공,Mugong
비급,secret book
초식,Basic Form
볼케이노,Volcano
불벼락,Fire Thunderbolt
화뢰,Firebolt
뇌흔,Thunder Scar
육감,Sixth Sense
영감,Inspiration
순보,Flash Step
축지,Shukuchi
천리안,Clairvoyance
스킬트리,Skill Tree
스킬북,skillbook
스킬,skill
시스템,system
초감각,hyperesthesia(extrasensory)
헤이스트,Haste
스트랭스,Strength
블링크,Blink
푸른정령,Blue Spirit
물리내성,Physical Resistance
시간예지,Foresight
마력원,mana source
마력회로,mana circuit
마력기관,mana organ
마력통로,Mana Path
마력의축복을받은,Blessed By Mana
마력,mana
항마력,Anti-mana
마나스트림,mana stream
마나,mana
영압,Spirit Pressure
영력,Spiritual Power
용마안,Dragonic Eyes
용종,Dragonic Species
용제,Dragon Body
용체,Dragon Physique
악마수,Devil tree
악마대공,Devil Grand Duke
악마학,demonology
악마술,Demonic Arts
악마,devil
마룡체,Demonic Dragon Physique
마의,Demon의
마가,Demon가
마와,Demon와
마는,Demon는
마를,Demon를
마화,demonize
용의,Dragon의
용이,Dragon이
용혈,Dragon혈
용과,Dragon과
용은,Dragon은
용을,Dragon을
용골,Dragon Skeleton
용린,Dragon Scale
용맥,Dragon Vein
용문,Dragon Crest
인자,Factor
환룡,Mythical Dragon
마룡,Demonic Dragon
네메시스,Nemesis
니케,Nike
고룡,Ancient Dragon
칼라투스,Kalatus
브레스,Breath
아티팩트,Artifact
마장대검,Magic Bayonet
크라슈나의단검,Krishna의 Dagger
비그리드,Vigrid
아이기스,Aegis
바토리의,Bathory의
흡혈검,Vampiric Sword
칠흑왕의절망,Black King의 Despair
마장철면,Demonic Iron Mask
마장,Demonic Garb
신마도,Shinmado
허초,potential move
페이크,counterfeit
층계,floor
플레이어,player
랭커,ranker
올포원,All For One
아르티야,Arthia
마기,demonic energy
요기,supernatural energy
요술([^사]),Sorcery
요술사,Sorcerer
현자의돌,Philosopher의 stone
양도,Yang Saber
음검,YIN Sword
소드브레이커,Sword Breaker
시미터,scimitar
샤브르,saber
헌팅소드,hunting sword
보도,Treasured sword
